,p_in,t_out,p_out,m_dot,V3,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type
0,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,3189.47368421,179706.050273,9.81,0.15613367933,9.32811060884,1.04449589549,0.728762449826,Radial
1,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,3884.21052632,179706.050273,9.81,0.19014299562,8.16705675495,0.914489291187,0.772120228194,Radial
2,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,4578.94736842,179706.050273,9.81,0.224152311909,7.26182985018,0.813128380476,0.804036215962,Radial
3,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,5273.68421053,179706.050273,9.81,0.258161628199,6.81741144384,0.763365548455,0.815342669183,Radial
4,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,5968.42105263,179706.050273,9.81,0.292170944489,6.3729930375,0.713602716433,0.826649122403,Radial
5,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,6663.15789474,179706.050273,9.81,0.326180260779,5.92857463116,0.663839884412,0.837955575623,Radial
6,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,7357.89473684,179706.050273,9.81,0.360189577068,5.48415622482,0.614077052391,0.849262028843,Radial
7,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,8052.63157895,179706.050273,9.81,0.394198893358,5.03973781848,0.56431422037,0.860568482063,Radial
8,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,8747.36842105,179706.050273,9.81,0.428208209648,4.59531941214,0.514551388348,0.871874935283,Radial
9,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,9442.10526316,179706.050273,9.81,0.462217525937,4.1509010058,0.464788556327,0.883181388504,Radial
10,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,10136.8421053,179706.050273,9.81,0.496226842227,3.70648259945,0.415025724306,0.894487841724,Radial
11,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,10831.5789474,179706.050273,9.81,0.530236158517,3.43091154747,0.384169225624,0.9,Radial
12,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,11526.3157895,179706.050273,9.81,0.564245474806,3.31596630947,0.371298470297,0.9,Radial
13,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,12221.0526316,179706.050273,9.81,0.598254791096,3.20102107146,0.358427714971,0.9,Radial
14,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,12915.7894737,179706.050273,9.81,0.632264107386,3.08607583346,0.345556959645,0.9,Radial
15,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,13610.5263158,179706.050273,9.81,0.666273423676,2.98354308807,0.334076067511,0.893877292902,Radial
16,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,14305.2631579,179706.050273,9.81,0.700282739965,2.90443178961,0.325217743464,0.876201494594,Radial
17,31.1,20.0,1.01325,13.82,16.6472290221,3.0,3.13098696007,15000.0,179706.050273,9.81,0.734292056255,2.82532049116,0.316359419416,0.858525696286,Radial
18,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,2494.73684211,140133.627827,9.81,0.147169414429,9.63414423272,1.14797195361,0.71733409274,Radial
19,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,3189.47368421,140133.627827,9.81,0.188153301992,8.23498347934,0.981252703343,0.769583608681,Radial
20,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,3884.21052632,140133.627827,9.81,0.229137189555,7.1966897174,0.857533139931,0.805693446747,Radial
21,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,4578.94736842,140133.627827,9.81,0.270121077117,6.66113075934,0.793717750779,0.819318607675,Radial
22,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,5273.68421053,140133.627827,9.81,0.31110496468,6.12557180129,0.729902361628,0.832943768603,Radial
23,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,5968.42105263,140133.627827,9.81,0.352088852243,5.59001284324,0.666086972477,0.846568929531,Radial
24,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,6663.15789474,140133.627827,9.81,0.393072739805,5.05445388518,0.602271583325,0.86019409046,Radial
25,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,7357.89473684,140133.627827,9.81,0.434056627368,4.51889492713,0.538456194174,0.873819251388,Radial
26,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,8052.63157895,140133.627827,9.81,0.47504051493,3.98333596908,0.474640805022,0.887444412316,Radial
27,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,8747.36842105,140133.627827,9.81,0.516024402493,3.47894467065,0.414539248491,0.9,Radial
28,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,9442.10526316,140133.627827,9.81,0.557008290056,3.3404266637,0.398033912551,0.9,Radial
29,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,10136.8421053,140133.627827,9.81,0.597992177618,3.20190865675,0.381528576612,0.9,Radial
30,31.1,20.0,1.01325,13.82,16.6472290221,4.0,2.35375331214,10831.5789474,140133.627827,9.81,0.638976065181,3.0633906498,0.365023240672,0.9,Radial
